Timestamp,TEA,FLAVOR,MILK,ICE [Ice Level],SWEETNESS [Sweetness Level],Toppings,NAME,,Started,Completed
11/3/2022 21:20:11,THAI,,MILK,25%,75%,BOBA,sebastian,,TRUE,TRUE
11/3/2022 21:20:41,THAI,,MILK,25%,100%,BOBA,ashley ,,TRUE,TRUE
11/3/2022 21:22:05,BSL,,Almond,,,BOBA,adrian ,,TRUE,TRUE
11/3/2022 21:23:37,BSL,,Oat,,,BOBA,lexi ,,TRUE,TRUE
11/3/2022 21:24:08,MTCH,,MILK,,,BOBA,sawyer,,TRUE,TRUE
11/3/2022 21:25:31,BSL,,MILK,,,,sydney ,,TRUE,TRUE
11/3/2022 21:26:21,JSMN,PCH,,25%,100%,POPPIN,bryn ,,TRUE,TRUE
11/3/2022 21:27:00,TARO,,MILK,25%,25%,BOBA,ev ,,TRUE,TRUE
11/3/2022 21:28:16,JSMN,"KQ, LYCH",,25%,50%,POPPIN,verna ,,TRUE,TRUE
11/3/2022 21:30:01,TARO,,Almond,50%,100%,BOBA,max ,,TRUE,TRUE
11/3/2022 21:31:25,MTCH,,Oat,,,BOBA,eileen ,,TRUE,TRUE
11/3/2022 21:32:12,MTCH,,Oat,25%,,BOBA,ethan,,TRUE,TRUE
11/3/2022 21:33:34,OLNG,"HNY, PCH",,50%,100%,LYCHEE,julia ,,TRUE,TRUE
11/3/2022 21:34:29,TARO,,MILK,25%,100%,BOBA,Janice 1,,TRUE,TRUE
11/3/2022 21:35:00,TARO,,MILK,25%,75%,LYCHEE,janice 2,,TRUE,TRUE
11/3/2022 21:36:08,JSMN,PSNFRT,,100%,75%,LYCHEE,janice 3 ,,TRUE,TRUE
11/3/2022 21:37:32,JSMN,LYCH,,75%,100%,LYCHEE,janice 4 ,,TRUE,TRUE
11/3/2022 21:38:38,THAI,,MILK,0%,100%,BOBA,omaru ,,TRUE,TRUE
11/3/2022 21:39:55,THAI,,MILK,0%,100%,BOBA,Bola,,TRUE,TRUE
11/3/2022 21:41:54,TARO,,MILK,25%,25%,BOBA,reia ,,TRUE,TRUE
11/3/2022 21:43:06,THAI,,MILK,25%,75%,BOBA,ellis ,,TRUE,TRUE
11/3/2022 21:45:49,OLNG,"HNY, PCH",,50%,50%,LYCHEE,alan ,,TRUE,TRUE
11/3/2022 21:46:45,JSMN,WNTML,,50%,50%,BOBA,ally ,,TRUE,TRUE
11/3/2022 21:47:36,MTCH,,MILK,,,BOBA,desiree,, ,TRUE
11/3/2022 21:49:04,JSMN,ROSE,MILK,25%,75%,BOBA,lucia ,,TRUE,TRUE
11/3/2022 21:50:13,MTCH,,Oat,,,BOBA,taylor ,,TRUE,TRUE
11/8/2022 19:08:32,MTCH,,MILK,25%,,BOBA,Lauren ,,TRUE,TRUE
11/8/2022 19:09:19,JSMN,"MNGO, PSNFRT",,25%,100%,BOBA,Tom,,TRUE,TRUE
11/8/2022 19:09:32,JSMN,"MNGO, PSNFRT",,25%,100%,BOBA,tom 2,,TRUE,TRUE
11/8/2022 19:09:57,BLK,ROSE,MILK,25%,100%,BOBA,tom 3 ,,TRUE,TRUE
11/8/2022 19:10:37,BLK,,MILK,25%,100%,BOBA,tom 4 ,,TRUE,TRUE
11/8/2022 19:11:01,JSMN,"MNGO, PSNFRT",,25%,100%,BOBA,tom 5 ,,TRUE,TRUE
11/8/2022 19:13:04,BLK,ROSE,MILK,50%,75%,BOBA,leo ,,TRUE,TRUE
11/8/2022 19:13:42,BLK,ROSE,MILK,50%,75%,BOBA,oliver ,,TRUE,TRUE
11/8/2022 19:22:12,OLNG,"HNY, PCH",,25%,25%,LYCHEE,leila,,TRUE,TRUE
11/8/2022 19:24:02,JSMN,"MNGO, PSNFRT",,25%,75%,BOBA,peter ,,TRUE,TRUE
11/8/2022 19:25:04,OLNG,"HNY, PCH",,25%,75%,LYCHEE,Mac,,TRUE,TRUE
11/8/2022 19:26:02,TARO,,MILK,25%,100%,BOBA,Ruthie ,,TRUE,TRUE
11/8/2022 19:27:17,JSMN,WNTML,MILK,50%,100%,BOBA,Sabrina ,,TRUE,TRUE
11/8/2022 19:27:51,JSMN,"MNGO, PSNFRT",,25%,75%,BOBA,Stephanie ,,TRUE,TRUE
11/8/2022 19:28:51,JSMN,"PSNFRT, PCH",,25%,50%,BOBA,Leila ,,TRUE,TRUE
11/8/2022 19:30:28,BLK,ROSE,MILK,50%,50%,BOBA,Chau ,,TRUE,TRUE
11/8/2022 19:31:42,BLK,,MILK,50%,100%,BOBA,Rachel ,,TRUE,TRUE
11/8/2022 19:32:33,BSL,,Oat,,,BOBA,Evelyn ,,TRUE,TRUE
11/8/2022 19:33:33,JSMN,"MNGO, PSNFRT",,25%,75%,LYCHEE,Bianca ,,TRUE,TRUE
11/8/2022 19:34:22,BSL,,MILK,,,BOBA,Gabby ,,TRUE,TRUE
11/8/2022 19:36:01,BLK,LYCH,,25%,25%,"BOBA, LYCHEE",Nicole ,,TRUE,TRUE
11/8/2022 19:36:43,JSMN,PCH,,50%,25%,BOBA,Extra boba - Sofia 1,,TRUE,TRUE
